MAG_id,superkingdom,phylum,seq_total,unknown_per
MortensenS_xxxx__WK016-1-L-08h-02C7_S85__bin.3,Eukaryota,Ascomycota,1454,0.876203576
MortensenS_xxxx__WK059-1-L-08h-04G9_S34__bin.7,Eukaryota,Ascomycota,1440,0.880555556
MortensenS_xxxx__WK006-2-L-48h-01H6_S48__bin.1,Eukaryota,Ascomycota,1321,0.875094625
MortensenS_xxxx__WK057-1-L-48h-04G2_S27__bin.1,Eukaryota,Ascomycota,1463,0.881066302
MortensenS_xxxx__WK059-2-G-48h-05H2_S117__bin.4,Eukaryota,Ascomycota,756,0.880952381
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin.9,Eukaryota,Ascomycota,762,0.8832021
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.1,Eukaryota,Ascomycota,313,0.610223642
MortensenS_xxxx__WK046-1-L-08h-03H7_S89__bin.6,Eukaryota,Ascomycota,1483,0.357383682
MortensenS_xxxx__WK001T-2-L-04h-05E3_S91__bin.2,Eukaryota,Ascomycota,1604,0.347256858
MortensenS_xxxx__WK015-2-G-48h-01D9_S15__bin.4,Eukaryota,Ascomycota,1534,0.355932203
MortensenS_xxxx__WK026-1-L-08h-02H8_S9__bin.1,Eukaryota,Ascomycota,1372,0.39941691
MortensenS_xxxx__WK030-2-L-08h-03A8_S27__bin.3,Eukaryota,Ascomycota,1588,0.341939547
MortensenS_xxxx__WK036-2-L-08h-03D5_S51__bin.1,Eukaryota,Ascomycota,1406,0.355618777
MortensenS_xxxx__WK039-2-L-08h-03E8_S63__bin.3,Eukaryota,Ascomycota,1427,0.347582341
LeechJ_xxxx__AF31__bin.2,Eukaryota,Ascomycota,1411,0.338766832
MASTER_WP4_UNINA_1__GO005_71775__bin.3,Eukaryota,Ascomycota,1491,0.334004024
MortensenS_xxxx__WK001-2-G-48h-01C4_S1__bin.7,Eukaryota,Ascomycota,1315,0.363498099
MortensenS_xxxx__WK001T-2-L-00h-05D4_S83__bin.4,Eukaryota,Ascomycota,1580,0.341139241
MortensenS_xxxx__WK005-1-L-08h-01G8_S41__bin.3,Eukaryota,Ascomycota,1537,0.348080677
MortensenS_xxxx__WK030-1-L-08h-03A6_S25__bin.8,Eukaryota,Ascomycota,1582,0.345132743
MortensenS_xxxx__WK036-1-L-48h-03D4_S50__bin.10,Eukaryota,Ascomycota,1259,0.351866561
MortensenS_xxxx__WK039-2-G-48h-04B6_S115__bin.2,Eukaryota,Ascomycota,1549,0.348612008
MortensenS_xxxx__WK045-1-L-08h-03H3_S85__bin.7,Eukaryota,Ascomycota,1343,0.352196575
MortensenS_xxxx__WK048-2-G-48h-04C6_S124__bin.6,Eukaryota,Ascomycota,1444,0.362188366
MortensenS_xxxx__WK005-2-G-48h-01C8_S5__bin.3,Eukaryota,Ascomycota,1579,0.339455351
MortensenS_xxxx__WK039-1-L-08h-03E6_S61__bin.1,Eukaryota,Ascomycota,1150,0.35826087
MortensenS_xxxx__WK039-2-L-48h-03E9_S64__bin.10,Eukaryota,Ascomycota,1379,0.358955765
MortensenS_xxxx__WK041-2-G-48h-04B8_S117__bin.3,Eukaryota,Ascomycota,1381,0.356263577
MortensenS_xxxx__WK066-1-L-48h-05B6_S67__bin.4,Eukaryota,Ascomycota,1376,0.343023256
MortensenS_xxxx__WK068-2-L-48h-05C7_S77__bin.3,Eukaryota,Ascomycota,1551,0.344294004
SternesPR_2017__Control2_C_shotgun__bin.1,Eukaryota,Ascomycota,1514,0.338837517
VerceM_2019__ERS1807707__bin.10,Eukaryota,Ascomycota,1040,0.365384615
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin.9,Eukaryota,Ascomycota,1596,0.348997494
MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.4,Eukaryota,Ascomycota,1294,0.357805255
MortensenS_xxxx__WK066-1-L-08h-05B5_S66__bin.1,Eukaryota,Ascomycota,1431,0.347309574
MortensenS_xxxx__WK021-2-G-48h-01E6_S21__bin.3,Eukaryota,Ascomycota,1420,0.379577465
MortensenS_xxxx__WK033-1-L-48h-03C1_S38__bin.5,Eukaryota,Ascomycota,1059,0.428706327
MortensenS_xxxx__WK038-1-L-08h-03E2_S57__bin.1,Eukaryota,Ascomycota,1560,0.344230769
MortensenS_xxxx__WK066-2-G-48h-05I1_S125__bin.4,Eukaryota,Ascomycota,1517,0.344759394
MortensenS_xxxx__WK001T-1-L-16h-05F1_S98__bin.4,Eukaryota,Ascomycota,1558,0.340821566
MortensenS_xxxx__WK006-2-G-48h-01C9_S6__bin.1,Eukaryota,Ascomycota,1593,0.345260515
MortensenS_xxxx__WK032-2-L-48h-03B8_S36__bin.7,Eukaryota,Ascomycota,1168,0.357020548
MortensenS_xxxx__WK047-2-L-08h-03I4_S95__bin.2,Eukaryota,Ascomycota,1303,0.350729087
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin.5,Eukaryota,Ascomycota,1430,0.372727273
MortensenS_xxxx__WK060-2-L-08h-04H6_S40__bin.2,Eukaryota,Ascomycota,1565,0.338019169
SternesPR_2017__Y2D3_B_shotgun__bin.1,Eukaryota,Ascomycota,1581,0.335230867
MortensenS_xxxx__WK005-2-L-08h-01H1_S43__bin.2,Eukaryota,Ascomycota,1317,0.358390281
MortensenS_xxxx__WK027-2-L-08h-02I5_S15__bin.4,Eukaryota,Ascomycota,1535,0.357003257
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.4,Eukaryota,Ascomycota,1396,0.356017192
LeechJ_xxxx__AF40__bin.1,Eukaryota,Ascomycota,1525,0.332459016
MortensenS_xxxx__WK032-1-L-08h-03B5_S33__bin.3,Eukaryota,Ascomycota,1474,0.355495251
MortensenS_xxxx__WK035-1-L-08h-03C8_S45__bin.5,Eukaryota,Ascomycota,1550,0.346451613
MortensenS_xxxx__WK048-1-L-48h-03I7_S98__bin.7,Eukaryota,Ascomycota,1449,0.517598344
MortensenS_xxxx__WK063-1-L-08h-04I7_S50__bin.1,Eukaryota,Ascomycota,1539,0.348278103
MortensenS_xxxx__WK068-2-L-08h-05C6_S76__bin.2,Eukaryota,Ascomycota,1528,0.340314136
LeechJ_xxxx__AF55__bin.7,Eukaryota,Ascomycota,1544,0.33484456
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin.3,Eukaryota,Ascomycota,1604,0.346009975
MortensenS_xxxx__WK004-2-L-08h-01G6_S39__bin.9,Eukaryota,Ascomycota,1094,0.370201097
MortensenS_xxxx__WK024-2-G-48h-01E9_S24__bin.4,Eukaryota,Ascomycota,1539,0.366471735
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin.7,Eukaryota,Ascomycota,1511,0.346128392
SternesPR_2017__T2D1_A_shotgun__bin.9,Eukaryota,Ascomycota,1571,0.335455124
LeechJ_xxxx__AF64__bin.2,Eukaryota,Ascomycota,907,0.368246968
MortensenS_xxxx__WK044-2-G-48h-04C2_S120__bin.4,Eukaryota,Ascomycota,1534,0.35071708
MortensenS_xxxx__WK046-2-G-48h-04C4_S122__bin.1,Eukaryota,Ascomycota,1551,0.350741457
SternesPR_2017__Control2_A_shotgun__bin.1,Eukaryota,Ascomycota,1570,0.338853503
SternesPR_2017__T2D3_A_shotgun__bin.4,Eukaryota,Ascomycota,1586,0.336065574
SternesPR_2017__T2D3_B_shotgun__bin.4,Eukaryota,Ascomycota,1589,0.339207048
MortensenS_xxxx__WK026-2-L-08h-02I1_S11__bin.6,Eukaryota,Ascomycota,1416,0.446327684
MortensenS_xxxx__WK031-1-L-08h-03B1_S29__bin.5,Eukaryota,Ascomycota,1484,0.344339623
MortensenS_xxxx__WK035-2-L-08h-03D1_S47__bin.7,Eukaryota,Ascomycota,1506,0.360557769
MortensenS_xxxx__WK045-1-L-48h-03H4_S86__bin.9,Eukaryota,Ascomycota,1193,0.353730092
MortensenS_xxxx__WK045-2-G-48h-04C3_S121__bin.3,Eukaryota,Ascomycota,1575,0.348571429
SternesPR_2017__Y2D1_A_shotgun__bin.8,Eukaryota,Ascomycota,1589,0.337948395
MortensenS_xxxx__WK022-2-G-48h-01E7_S22__bin.6,Eukaryota,Ascomycota,1453,0.353062629
MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.4,Eukaryota,Ascomycota,1222,0.382160393
MortensenS_xxxx__WK034-2-G-48h-04B1_S110__bin.3,Eukaryota,Ascomycota,2080,0.550961538
MortensenS_xxxx__WK063-1-L-48h-04I8_S51__bin.7,Eukaryota,Ascomycota,1500,0.355333333
MortensenS_xxxx__WK068-1-L-08h-05C4_S74__bin.1,Eukaryota,Ascomycota,1541,0.338741077
ChaconVargasK_2020__SRS6087094__bin.8,Eukaryota,Ascomycota,744,0.317204301
MortensenS_xxxx__WK044-2-L-08h-03H1_S83__bin.10,Eukaryota,Ascomycota,1322,0.357791225
MortensenS_xxxx__WK046-1-L-48h-03H8_S90__bin.5,Eukaryota,Ascomycota,1446,0.336791148
MortensenS_xxxx__WK058-2-G-48h-05H1_S116__bin.3,Eukaryota,Ascomycota,1535,0.34723127
MortensenS_xxxx__WK001T-2-L-02h-05D8_S87__bin.5,Eukaryota,Ascomycota,1580,0.343037975
MortensenS_xxxx__WK038-2-L-08h-03E4_S59__bin.3,Eukaryota,Ascomycota,1573,0.345200254
MortensenS_xxxx__WK044-1-L-08h-03G8_S81__bin.4,Eukaryota,Ascomycota,1508,0.354774536
MortensenS_xxxx__WK046-2-L-08h-03H9_S91__bin.4,Eukaryota,Ascomycota,1512,0.341931217
MortensenS_xxxx__WK067-2-L-08h-05C2_S72__bin.1,Eukaryota,Ascomycota,904,0.35840708
SternesPR_2017__Y1D1_B_shotgun__bin.5,Eukaryota,Ascomycota,1570,0.336305732
MortensenS_xxxx__WK045-2-L-08h-03H5_S87__bin.7,Eukaryota,Ascomycota,1386,0.363636364
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin.2,Eukaryota,Ascomycota,1170,0.371794872
MortensenS_xxxx__WK001T-1-G-00h-05I5_S129__bin.1,Eukaryota,Ascomycota,1519,0.358130349
MortensenS_xxxx__WK005-1-L-48h-01G9_S42__bin.5,Eukaryota,Ascomycota,1436,0.357938719
MortensenS_xxxx__WK054-2-L-08h-04E9_S16__bin.5,Eukaryota,Ascomycota,1363,0.377842993
MortensenS_xxxx__WK024-1-L-08h-02G6_S120__bin.5,Eukaryota,Ascomycota,1239,0.346246973
MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin.5,Eukaryota,Ascomycota,1404,0.363960114
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin.1,Eukaryota,Ascomycota,1248,0.366987179
MortensenS_xxxx__WK051-2-G-48h-04D3_S1__bin.9,Eukaryota,Ascomycota,1251,0.348521183
MortensenS_xxxx__WK064-2-L-08h-05A4_S56__bin.11,Eukaryota,Ascomycota,1018,0.353634578
SternesPR_2017__Y3D3_A_shotgun__bin.1,Eukaryota,Ascomycota,1580,0.336708861
LeechJ_xxxx__AF32__bin.1,Eukaryota,Ascomycota,1457,0.334248456
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin.2,Eukaryota,Ascomycota,1576,0.342639594
MortensenS_xxxx__WK001T-1-L-08h-05E6_S94__bin.6,Eukaryota,Ascomycota,1576,0.342005076
MortensenS_xxxx__WK036-1-L-08h-03D3_S49__bin.3,Eukaryota,Ascomycota,1435,0.355400697
MortensenS_xxxx__WK047-1-L-08h-03I2_S93__bin.1,Eukaryota,Ascomycota,1291,0.358636716
MortensenS_xxxx__WK063-2-L-48h-05A1_S53__bin.6,Eukaryota,Ascomycota,1456,0.363324176
LeechJ_xxxx__AF67__bin.3,Eukaryota,Ascomycota,1538,0.33289987
MortensenS_xxxx__WK035-2-G-48h-04B2_S111__bin.3,Eukaryota,Ascomycota,1567,0.345245692
MortensenS_xxxx__WK036-2-L-48h-03D6_S52__bin.5,Eukaryota,Ascomycota,1331,0.354620586
MortensenS_xxxx__WK058-2-L-08h-04G7_S32__bin.8,Eukaryota,Ascomycota,1582,0.342604298
MortensenS_xxxx__WK068-1-L-48h-05C5_S75__bin.2,Eukaryota,Ascomycota,1523,0.340774787
MortensenS_xxxx__WK001T-2-L-16h-05F2_S99__bin.6,Eukaryota,Ascomycota,1551,0.348807221
MortensenS_xxxx__WK026-1-L-48h-02H9_S10__bin.5,Eukaryota,Ascomycota,1313,0.384615385
MortensenS_xxxx__WK030-1-L-48h-03A7_S26__bin.7,Eukaryota,Ascomycota,1592,0.351758794
MortensenS_xxxx__WK041-1-L-08h-03F5_S69__bin.4,Eukaryota,Ascomycota,1466,0.349931787
MortensenS_xxxx__WK060-2-G-48h-05H3_S118__bin.3,Eukaryota,Ascomycota,1425,0.349473684
DuR_2020__DRS139335__bin.17,Eukaryota,Ascomycota,1502,0.332223702
LeechJ_xxxx__AF39__bin.4,Eukaryota,Ascomycota,1510,0.339072848
MortensenS_xxxx__WK031-2-G-48h-04A7_S107__bin.4,Eukaryota,Ascomycota,1466,0.353342428
MortensenS_xxxx__WK031-2-L-08h-03B3_S31__bin.3,Eukaryota,Ascomycota,1487,0.347007397
SternesPR_2017__Y3D1_B_shotgun__bin.1,Eukaryota,Ascomycota,1576,0.33819797
LandisEA_2021__SRS5653152__bin.3,Eukaryota,Ascomycota,1279,0.357310399
MortensenS_xxxx__WK003-2-G-48h-01C6_S3__bin.1,Eukaryota,Ascomycota,1560,0.340384615
MortensenS_xxxx__WK030-2-G-48h-04A6_S106__bin.5,Eukaryota,Ascomycota,1591,0.346951603
MortensenS_xxxx__WK033-2-L-08h-03C2_S39__bin.4,Eukaryota,Ascomycota,1416,0.36440678
MortensenS_xxxx__WK062-2-G-48h-05H5_S120__bin.1,Eukaryota,Ascomycota,1468,0.576975477
MortensenS_xxxx__WK063-2-G-48h-05H6_S121__bin.2,Eukaryota,Ascomycota,1529,0.345977763
SternesPR_2017__Y1D1_A_shotgun__bin.2,Eukaryota,Ascomycota,1592,0.335427136
MortensenS_xxxx__WK067-2-G-48h-05I2_S126__bin.5,Eukaryota,Ascomycota,1375,0.349090909
DuR_2020__DRS139334__bin.3,Eukaryota,Ascomycota,1510,0.338410596
MortensenS_xxxx__WK015-2-L-08h-02C5_S83__bin.4,Eukaryota,Ascomycota,1460,0.354794521
MortensenS_xxxx__WK031-2-L-48h-03B4_S32__bin.8,Eukaryota,Ascomycota,1336,0.368263473
MortensenS_xxxx__WK047-2-G-48h-04C5_S123__bin.4,Eukaryota,Ascomycota,1550,0.345806452
MortensenS_xxxx__WK060-2-L-48h-04H7_S41__bin.5,Eukaryota,Ascomycota,1415,0.358303887
MortensenS_xxxx__WK066-2-L-48h-05B8_S69__bin.5,Eukaryota,Ascomycota,1284,0.352024922
SternesPR_2017__Y3D3_B_shotgun__bin.1,Eukaryota,Ascomycota,1571,0.332908975
DeRoosJ_2020__B3D__bin.2,Eukaryota,Ascomycota,1279,0.350273651
HeilCS_2018__Old_Warehouse_metagenome__bin.6,Eukaryota,Ascomycota,1582,0.345764855
MASTER_WP4_UNINA_1__GO003_71775__bin.8,Eukaryota,Ascomycota,1582,0.339443742
MortensenS_xxxx__WK024-2-L-08h-02G8_S122__bin.2,Eukaryota,Ascomycota,1473,0.358452138
MortensenS_xxxx__WK035-2-L-48h-03D2_S48__bin.2,Eukaryota,Ascomycota,1546,0.351228978
MortensenS_xxxx__WK038-2-G-48h-04B5_S114__bin.2,Eukaryota,Ascomycota,1586,0.343631778
MortensenS_xxxx__WK063-2-L-08h-04I9_S52__bin.3,Eukaryota,Ascomycota,1526,0.357798165
MortensenS_xxxx__WK001-1-L-08h-01F1_S25__bin.10,Eukaryota,Ascomycota,1242,0.368760064
MortensenS_xxxx__WK001T-1-L-48h-05F9_S106__bin.1,Eukaryota,Ascomycota,907,0.368246968
MortensenS_xxxx__WK001T-2-L-08h-05E7_S95__bin.3,Eukaryota,Ascomycota,1561,0.34401025
MortensenS_xxxx__WK016-2-G-48h-01E1_S16__bin.3,Eukaryota,Ascomycota,1464,0.357923497
MortensenS_xxxx__WK022-1-L-08h-02F7_S112__bin.6,Eukaryota,Ascomycota,1425,0.363508772
MortensenS_xxxx__WK032-2-L-08h-03B7_S35__bin.1,Eukaryota,Ascomycota,1351,0.355292376
MortensenS_xxxx__WK041-2-L-08h-03F7_S71__bin.3,Eukaryota,Ascomycota,1349,0.354336546
MortensenS_xxxx__WK048-2-L-08h-03I8_S99__bin.1,Eukaryota,Ascomycota,1222,0.376432079
MortensenS_xxxx__WK027-2-G-48h-04A3_S103__bin.3,Eukaryota,Ascomycota,1528,0.342277487
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.3,Eukaryota,Ascomycota,1470,0.348979592
MortensenS_xxxx__WK050-1-L-08h-04C7_S125__bin.9,Eukaryota,Ascomycota,1329,0.364183597
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin.6,Eukaryota,Ascomycota,1534,0.348761408
MortensenS_xxxx__WK068-2-G-48h-05I3_S127__bin.1,Eukaryota,Ascomycota,1512,0.337301587
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.8,Eukaryota,Ascomycota,1535,0.348534202
MortensenS_xxxx__WK005-2-L-48h-01H2_S44__bin.6,Eukaryota,Ascomycota,1015,0.373399015
MortensenS_xxxx__WK045-2-L-48h-03H6_S88__bin.9,Eukaryota,Ascomycota,1005,0.367164179
MortensenS_xxxx__WK058-1-L-08h-04G5_S30__bin.5,Eukaryota,Ascomycota,1589,0.346129641
SternesPR_2017__Y3D1_A_shotgun__bin.1,Eukaryota,Ascomycota,1588,0.339420655
LeechJ_xxxx__AF29__bin.7,Eukaryota,Ascomycota,848,0.370283019
MASTER_WP4_UNINA_1__GO004_71775__bin.7,Eukaryota,Ascomycota,1483,0.348617667
MortensenS_xxxx__WK001T-2-G-00h-05I6_S130__bin.4,Eukaryota,Ascomycota,1519,0.35154707
MortensenS_xxxx__WK027-1-L-08h-02I3_S13__bin.8,Eukaryota,Ascomycota,1525,0.340983607
MASTER_WP4_UNINA_1__GO202_71775__bin.2,Eukaryota,Ascomycota,1485,0.339393939
MortensenS_xxxx__WK015-1-L-08h-02C3_S81__bin.4,Eukaryota,Ascomycota,1553,0.349001932
MortensenS_xxxx__WK032-2-G-48h-04A8_S108__bin.2,Eukaryota,Ascomycota,1497,0.358049432
MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.7,Eukaryota,Ascomycota,1539,0.34762833
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin.7,Eukaryota,Ascomycota,1507,0.353019244
MortensenS_xxxx__WK059-1-L-08h-04G9_S34__bin.9,Eukaryota,Ascomycota,1555,0.348553055
SternesPR_2017__T2D1_B_shotgun__bin.9,Eukaryota,Ascomycota,1571,0.335455124
SternesPR_2017__Y2D3_A_shotgun__bin.2,Eukaryota,Ascomycota,1580,0.336075949
MASTER_WP4_UNINA_1__AS006_71775__bin.7,Eukaryota,Ascomycota,278,0.579136691
SternesPR_2017__T2D3_A_shotgun__bin.3,Eukaryota,Ascomycota,899,0.974416018
SternesPR_2017__T2D3_B_shotgun__bin.3,Eukaryota,Ascomycota,907,0.974641676
SternesPR_2017__Y2D1_A_shotgun__bin.3,Eukaryota,Ascomycota,928,0.975215517
SternesPR_2017__Y2D1_B_shotgun__bin.9,Eukaryota,Ascomycota,932,0.975321888
SternesPR_2017__T1D1_B_shotgun__bin.2,Eukaryota,Ascomycota,839,0.977353993
SternesPR_2017__T1D1_A_shotgun__bin.3,Eukaryota,Ascomycota,662,0.968277946
MortensenS_xxxx__WK011-1-L-08h-02A5_S65__bin.8,Eukaryota,Ascomycota,749,0.982643525
SternesPR_2017__Control1_C_shotgun__bin.4,Eukaryota,Ascomycota,915,0.974863388
SternesPR_2017__T1D1_B_shotgun__bin.1,Eukaryota,Ascomycota,552,0.981884058
SternesPR_2017__T2D1_A_shotgun__bin.4,Eukaryota,Ascomycota,801,0.97627965
SternesPR_2017__T2D1_B_shotgun__bin.8,Eukaryota,Ascomycota,795,0.977358491
SternesPR_2017__Control1_A_shotgun__bin.1,Eukaryota,Ascomycota,912,0.974780702
SternesPR_2017__T1D1_A_shotgun__bin.2,Eukaryota,Ascomycota,863,0.976825029
LeechJ_xxxx__AF26__bin.5,Eukaryota,Ascomycota,304,0.930921053
VerceM_2019__ERS1807706__bin.5,Eukaryota,Ascomycota,1341,0.352721849
LeechJ_2020__ERS3967714__bin.6,Eukaryota,Ascomycota,1136,0.282570423
MASTER_WP4_UNINA_1__GO011_71775__bin.8,Eukaryota,Ascomycota,1376,0.35247093
MortensenS_xxxx__WK069-1-L-08h-05C8_S78__bin.2,Eukaryota,Ascomycota,1570,0.341401274
MortensenS_xxxx__WK069-2-L-08h-05D1_S80__bin.3,Eukaryota,Ascomycota,1572,0.339694656
MortensenS_xxxx__WK069-1-L-48h-05C9_S79__bin.4,Eukaryota,Ascomycota,1541,0.340687865
SternesPR_2017__Y2D1_B_shotgun__bin.2,Eukaryota,Ascomycota,1571,0.339274348
MASTER_WP4_UNINA_1__GO102_71775__bin.29,Eukaryota,Ascomycota,812,0.399014778
LeechJ_xxxx__AF28__bin.1,Eukaryota,Ascomycota,1446,0.33264177
MortensenS_xxxx__WK060-1-L-08h-04H4_S38__bin.2,Eukaryota,Ascomycota,1562,0.340588988
MortensenS_xxxx__WK055-1-L-08h-04F2_S18__bin.2,Eukaryota,Ascomycota,1111,0.353735374
LeechJ_xxxx__AF77__bin.1,Eukaryota,Ascomycota,1401,0.329764454
MASTER_WP4_TEAGASC_1__TGS05-28_0__bin.16,Eukaryota,Ascomycota,1331,0.344853494
MASTER_WP4_UNINA_1__GO013_71775__bin.28,Eukaryota,Ascomycota,1425,0.345263158
XieM_2019__SAMC044639__bin.29,Eukaryota,Ascomycota,1621,0.977791487
DeFilippisF_xxxx__DF_26__bin.9,Eukaryota,Ascomycota,1990,0.981909548
MASTER_WP4_UNINA_2__O-29__bin.7,Eukaryota,Ascomycota,2144,0.984608209
MASTER_WP4_CSIC_2__P2588__bin.26,Eukaryota,Ascomycota,2216,0.982851986
MASTER_WP4_UNINA_2__O-30__bin.13,Eukaryota,Ascomycota,2257,0.983606557
WalshAM_2020__ERS3466788__bin.2,Eukaryota,Ascomycota,1913,0.983272347
AlvarezOrdonezA_xxxx__C08-18__bin.3,Eukaryota,Ascomycota,1372,0.975947522
MASTER_WP4_CSIC_1__P2217_73323__bin.8,Eukaryota,Ascomycota,2186,0.982616651
MASTER_WP4_TEAGASC_1__TGS15-28__bin.22,Eukaryota,Ascomycota,2166,0.98245614
MASTER_WP4_UNINA_2__O-25.1__bin.4,Eukaryota,Ascomycota,1698,0.986454653
AlvarezOrdonezA_xxxx__Q08-29__bin.9,Eukaryota,Ascomycota,1855,0.980053908
AlvarezOrdonezA_xxxx__C02-19__bin.6,Eukaryota,Ascomycota,840,0.978571429
MASTER_WP4_TEAGASC_1__TGS09-24__bin.3,Eukaryota,Ascomycota,2213,0.982828739
AlvarezOrdonezA_xxxx__Q06-30__bin.5,Eukaryota,Ascomycota,1385,0.984837545
AlvarezOrdonezA_xxxx__C04-18__bin.8,Eukaryota,Ascomycota,1871,0.982362373
MASTER_WP4_CSIC_2__P2620__bin.20,Eukaryota,Ascomycota,2239,0.983474766
MASTER_WP4_TEAGASC_1__TGS14-30__bin.13,Eukaryota,Ascomycota,2184,0.983058608
AlvarezOrdonezA_xxxx__Q04-29__bin.7,Eukaryota,Ascomycota,1985,0.98186398
AlvarezOrdonezA_xxxx__Q01-29__bin.15,Eukaryota,Ascomycota,1653,0.980641258
AlvarezOrdonezA_xxxx__Q08-30__bin.19,Eukaryota,Ascomycota,1225,0.982040816
WolfeBE_2014__623_Maggies_Round__bin.3,Eukaryota,Ascomycota,2212,0.984177215
AlvarezOrdonezA_xxxx__Q07-29__bin.23,Eukaryota,Ascomycota,1745,0.981661891
AlvarezOrdonezA_xxxx__Q03-30__bin.4,Eukaryota,Ascomycota,2183,0.983050847
KastmanEK_2016__CSB619__bin.7,Eukaryota,Ascomycota,2218,0.982867448
MASTER_WP4_TEAGASC_1__TGS09-26__bin.6,Eukaryota,Ascomycota,2221,0.98289059
WolfeBE_2014__581_Moses_Sleeper__bin.4,Eukaryota,Ascomycota,2220,0.982882883
AlvarezOrdonezA_xxxx__Q07-30__bin.17,Eukaryota,Ascomycota,1879,0.981905269
AlvarezOrdonezA_xxxx__Q02-27__bin.5,Eukaryota,Ascomycota,2181,0.983035305
MASTER_WP4_CSIC_1__P2219_73323__bin.9,Eukaryota,Ascomycota,2154,0.982822656
MASTER_WP4_CSIC_2__P2560__bin.1,Eukaryota,Ascomycota,2004,0.982035928
MASTER_WP4_CSIC_2__P2598__bin.10,Eukaryota,Ascomycota,2146,0.983690587
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.74,Eukaryota,Ascomycota,1968,0.981707317
AlvarezOrdonezA_xxxx__F06-19__bin.9,Eukaryota,Ascomycota,2165,0.983833718
AlvarezOrdonezA_xxxx__Q03-29__bin.17,Eukaryota,Ascomycota,2167,0.982925704
AlvarezOrdonezA_xxxx__F05-18__bin.5,Eukaryota,Ascomycota,1465,0.977474403
AlvarezOrdonezA_xxxx__Q01-30__bin.5,Eukaryota,Ascomycota,1682,0.980380499
AlvarezOrdonezA_xxxx__Q04-30__bin.20,Eukaryota,Ascomycota,1945,0.982005141
AlvarezOrdonezA_xxxx__F05-19__bin.4,Bacteria,Firmicutes,652,0.970858896
DeFilippisF_xxxx__DS_10__bin.6,Bacteria,Firmicutes,643,0.972006221
DeFilippisF_xxxx__DS_98__bin.5,Bacteria,Firmicutes,645,0.970542636
