MAG_id,superkingdom,phylum,genome_size,cluster_div
MortensenS_xxxx__WK001T-2-L-04h-05E3_S91__bin.2,Eukaryota,Ascomycota,11414721,1573
MortensenS_xxxx__WK015-2-G-48h-01D9_S15__bin.4,Eukaryota,Ascomycota,10604790,1509
MortensenS_xxxx__WK026-1-L-08h-02H8_S9__bin.1,Eukaryota,Ascomycota,9295558,1356
MortensenS_xxxx__WK030-2-L-08h-03A8_S27__bin.3,Eukaryota,Ascomycota,11294217,1548
MortensenS_xxxx__WK036-2-L-08h-03D5_S51__bin.1,Eukaryota,Ascomycota,9905849,1380
MortensenS_xxxx__WK039-2-L-08h-03E8_S63__bin.3,Eukaryota,Ascomycota,9812776,1405
LeechJ_xxxx__AF31__bin.2,Eukaryota,Ascomycota,10909406,1385
MASTER_WP4_UNINA_1__GO005_71775__bin.3,Eukaryota,Ascomycota,11096904,1470
MortensenS_xxxx__WK001-2-G-48h-01C4_S1__bin.7,Eukaryota,Ascomycota,9081380,1296
MortensenS_xxxx__WK001T-2-L-00h-05D4_S83__bin.4,Eukaryota,Ascomycota,11233622,1548
MortensenS_xxxx__WK005-1-L-08h-01G8_S41__bin.3,Eukaryota,Ascomycota,10737976,1504
MortensenS_xxxx__WK030-1-L-08h-03A6_S25__bin.8,Eukaryota,Ascomycota,11250328,1547
MortensenS_xxxx__WK036-1-L-48h-03D4_S50__bin.10,Eukaryota,Ascomycota,8666010,1246
MortensenS_xxxx__WK039-2-G-48h-04B6_S115__bin.2,Eukaryota,Ascomycota,10751856,1517
MortensenS_xxxx__WK045-1-L-08h-03H3_S85__bin.7,Eukaryota,Ascomycota,9085603,1322
MortensenS_xxxx__WK048-2-G-48h-04C6_S124__bin.6,Eukaryota,Ascomycota,10016810,1419
MortensenS_xxxx__WK005-2-G-48h-01C8_S5__bin.3,Eukaryota,Ascomycota,11210056,1541
MortensenS_xxxx__WK039-1-L-08h-03E6_S61__bin.1,Eukaryota,Ascomycota,7750742,1133
MortensenS_xxxx__WK039-2-L-48h-03E9_S64__bin.10,Eukaryota,Ascomycota,9437282,1357
MortensenS_xxxx__WK041-2-G-48h-04B8_S117__bin.3,Eukaryota,Ascomycota,9561137,1356
MortensenS_xxxx__WK066-1-L-48h-05B6_S67__bin.4,Eukaryota,Ascomycota,10182222,1353
MortensenS_xxxx__WK068-2-L-48h-05C7_S77__bin.3,Eukaryota,Ascomycota,11162893,1518
SternesPR_2017__Control2_C_shotgun__bin.1,Eukaryota,Ascomycota,10664389,1488
VerceM_2019__ERS1807707__bin.10,Eukaryota,Ascomycota,10776462,1024
MortensenS_xxxx__WK001T-1-L-04h-05E2_S90__bin.9,Eukaryota,Ascomycota,11115691,1563
MortensenS_xxxx__WK032-1-L-48h-03B6_S34__bin.4,Eukaryota,Ascomycota,8884860,1277
MortensenS_xxxx__WK066-1-L-08h-05B5_S66__bin.1,Eukaryota,Ascomycota,10574693,1400
MortensenS_xxxx__WK021-2-G-48h-01E6_S21__bin.3,Eukaryota,Ascomycota,9629697,1400
MortensenS_xxxx__WK033-1-L-48h-03C1_S38__bin.5,Eukaryota,Ascomycota,7030668,1048
MortensenS_xxxx__WK038-1-L-08h-03E2_S57__bin.1,Eukaryota,Ascomycota,11109292,1522
MortensenS_xxxx__WK066-2-G-48h-05I1_S125__bin.4,Eukaryota,Ascomycota,11225870,1490
MortensenS_xxxx__WK001T-1-L-16h-05F1_S98__bin.4,Eukaryota,Ascomycota,11059032,1521
MortensenS_xxxx__WK006-2-G-48h-01C9_S6__bin.1,Eukaryota,Ascomycota,11127476,1561
MortensenS_xxxx__WK032-2-L-48h-03B8_S36__bin.7,Eukaryota,Ascomycota,8049710,1153
MortensenS_xxxx__WK047-2-L-08h-03I4_S95__bin.2,Eukaryota,Ascomycota,8911239,1285
MortensenS_xxxx__WK054-1-L-08h-04E7_S14__bin.5,Eukaryota,Ascomycota,9961733,1410
MortensenS_xxxx__WK060-2-L-08h-04H6_S40__bin.2,Eukaryota,Ascomycota,11170114,1539
SternesPR_2017__Y2D3_B_shotgun__bin.1,Eukaryota,Ascomycota,11171065,1552
MortensenS_xxxx__WK005-2-L-08h-01H1_S43__bin.2,Eukaryota,Ascomycota,9013756,1294
MortensenS_xxxx__WK027-2-L-08h-02I5_S15__bin.4,Eukaryota,Ascomycota,10762546,1504
MortensenS_xxxx__WK058-1-L-48h-04G6_S31__bin.4,Eukaryota,Ascomycota,9669263,1380
LeechJ_xxxx__AF40__bin.1,Eukaryota,Ascomycota,11063495,1499
MortensenS_xxxx__WK032-1-L-08h-03B5_S33__bin.3,Eukaryota,Ascomycota,10191426,1446
MortensenS_xxxx__WK035-1-L-08h-03C8_S45__bin.5,Eukaryota,Ascomycota,10891287,1517
MortensenS_xxxx__WK048-1-L-48h-03I7_S98__bin.7,Eukaryota,Ascomycota,9348244,1430
MortensenS_xxxx__WK063-1-L-08h-04I7_S50__bin.1,Eukaryota,Ascomycota,10923195,1511
MortensenS_xxxx__WK068-2-L-08h-05C6_S76__bin.2,Eukaryota,Ascomycota,11077007,1500
LeechJ_xxxx__AF55__bin.7,Eukaryota,Ascomycota,11083040,1516
MortensenS_xxxx__WK001T-1-L-00h-05D3_S82__bin.3,Eukaryota,Ascomycota,11388111,1569
MortensenS_xxxx__WK004-2-L-08h-01G6_S39__bin.9,Eukaryota,Ascomycota,7610093,1082
MortensenS_xxxx__WK024-2-G-48h-01E9_S24__bin.4,Eukaryota,Ascomycota,10587584,1511
MortensenS_xxxx__WK060-1-L-48h-04H5_S39__bin.7,Eukaryota,Ascomycota,10757135,1484
SternesPR_2017__T2D1_A_shotgun__bin.9,Eukaryota,Ascomycota,11180874,1543
LeechJ_xxxx__AF64__bin.2,Eukaryota,Ascomycota,7144529,900
MortensenS_xxxx__WK044-2-G-48h-04C2_S120__bin.4,Eukaryota,Ascomycota,10651759,1505
MortensenS_xxxx__WK046-2-G-48h-04C4_S122__bin.1,Eukaryota,Ascomycota,10964037,1520
SternesPR_2017__Control2_A_shotgun__bin.1,Eukaryota,Ascomycota,10954305,1545
SternesPR_2017__T2D3_A_shotgun__bin.4,Eukaryota,Ascomycota,11192079,1555
SternesPR_2017__T2D3_B_shotgun__bin.4,Eukaryota,Ascomycota,11205388,1561
MortensenS_xxxx__WK026-2-L-08h-02I1_S11__bin.6,Eukaryota,Ascomycota,8909284,1395
MortensenS_xxxx__WK031-1-L-08h-03B1_S29__bin.5,Eukaryota,Ascomycota,10941836,1458
MortensenS_xxxx__WK035-2-L-08h-03D1_S47__bin.7,Eukaryota,Ascomycota,10682942,1479
MortensenS_xxxx__WK045-1-L-48h-03H4_S86__bin.9,Eukaryota,Ascomycota,8201693,1177
MortensenS_xxxx__WK045-2-G-48h-04C3_S121__bin.3,Eukaryota,Ascomycota,11147690,1542
SternesPR_2017__Y2D1_A_shotgun__bin.8,Eukaryota,Ascomycota,11191364,1560
MortensenS_xxxx__WK022-2-G-48h-01E7_S22__bin.6,Eukaryota,Ascomycota,10160982,1427
MortensenS_xxxx__WK031-1-L-48h-03B2_S30__bin.4,Eukaryota,Ascomycota,8331612,1208
MortensenS_xxxx__WK034-2-G-48h-04B1_S110__bin.3,Eukaryota,Ascomycota,12093804,2032
MortensenS_xxxx__WK063-1-L-48h-04I8_S51__bin.7,Eukaryota,Ascomycota,10670230,1473
MortensenS_xxxx__WK068-1-L-08h-05C4_S74__bin.1,Eukaryota,Ascomycota,11246148,1511
ChaconVargasK_2020__SRS6087094__bin.8,Eukaryota,Ascomycota,5403179,741
MortensenS_xxxx__WK044-2-L-08h-03H1_S83__bin.10,Eukaryota,Ascomycota,8995179,1302
MortensenS_xxxx__WK046-1-L-48h-03H8_S90__bin.5,Eukaryota,Ascomycota,10072436,1418
MortensenS_xxxx__WK058-2-G-48h-05H1_S116__bin.3,Eukaryota,Ascomycota,10763670,1505
MortensenS_xxxx__WK001T-2-L-02h-05D8_S87__bin.5,Eukaryota,Ascomycota,11145792,1547
MortensenS_xxxx__WK038-2-L-08h-03E4_S59__bin.3,Eukaryota,Ascomycota,11254125,1536
MortensenS_xxxx__WK044-1-L-08h-03G8_S81__bin.4,Eukaryota,Ascomycota,10401911,1478
MortensenS_xxxx__WK046-2-L-08h-03H9_S91__bin.4,Eukaryota,Ascomycota,10620000,1485
MortensenS_xxxx__WK067-2-L-08h-05C2_S72__bin.1,Eukaryota,Ascomycota,6556587,900
SternesPR_2017__Y1D1_B_shotgun__bin.5,Eukaryota,Ascomycota,11051738,1541
MortensenS_xxxx__WK045-2-L-08h-03H5_S87__bin.7,Eukaryota,Ascomycota,9418183,1362
MortensenS_xxxx__WK050-2-G-48h-04D2_S129__bin.2,Eukaryota,Ascomycota,7970225,1153
MortensenS_xxxx__WK001T-1-G-00h-05I5_S129__bin.1,Eukaryota,Ascomycota,10498746,1491
MortensenS_xxxx__WK005-1-L-48h-01G9_S42__bin.5,Eukaryota,Ascomycota,9885115,1412
MortensenS_xxxx__WK054-2-L-08h-04E9_S16__bin.5,Eukaryota,Ascomycota,9390807,1344
MortensenS_xxxx__WK024-1-L-08h-02G6_S120__bin.5,Eukaryota,Ascomycota,8571615,1221
MortensenS_xxxx__WK044-1-L-48h-03G9_S82__bin.5,Eukaryota,Ascomycota,9671709,1380
MortensenS_xxxx__WK044-2-L-48h-03H2_S84__bin.1,Eukaryota,Ascomycota,8483993,1227
MortensenS_xxxx__WK051-2-G-48h-04D3_S1__bin.9,Eukaryota,Ascomycota,8571882,1229
MortensenS_xxxx__WK064-2-L-08h-05A4_S56__bin.11,Eukaryota,Ascomycota,7295061,1006
SternesPR_2017__Y3D3_A_shotgun__bin.1,Eukaryota,Ascomycota,11180420,1551
LeechJ_xxxx__AF32__bin.1,Eukaryota,Ascomycota,10943809,1436
MortensenS_xxxx__WK001T-1-L-02h-05D7_S86__bin.2,Eukaryota,Ascomycota,11088484,1542
MortensenS_xxxx__WK001T-1-L-08h-05E6_S94__bin.6,Eukaryota,Ascomycota,11166414,1544
MortensenS_xxxx__WK036-1-L-08h-03D3_S49__bin.3,Eukaryota,Ascomycota,10224354,1412
MortensenS_xxxx__WK047-1-L-08h-03I2_S93__bin.1,Eukaryota,Ascomycota,8873203,1272
MortensenS_xxxx__WK063-2-L-48h-05A1_S53__bin.6,Eukaryota,Ascomycota,10226855,1433
LeechJ_xxxx__AF67__bin.3,Eukaryota,Ascomycota,11097540,1512
MortensenS_xxxx__WK035-2-G-48h-04B2_S111__bin.3,Eukaryota,Ascomycota,11143741,1532
MortensenS_xxxx__WK036-2-L-48h-03D6_S52__bin.5,Eukaryota,Ascomycota,9305517,1316
MortensenS_xxxx__WK058-2-L-08h-04G7_S32__bin.8,Eukaryota,Ascomycota,11249471,1548
MortensenS_xxxx__WK068-1-L-48h-05C5_S75__bin.2,Eukaryota,Ascomycota,11032066,1493
MortensenS_xxxx__WK001T-2-L-16h-05F2_S99__bin.6,Eukaryota,Ascomycota,10898646,1522
MortensenS_xxxx__WK026-1-L-48h-02H9_S10__bin.5,Eukaryota,Ascomycota,9113350,1299
MortensenS_xxxx__WK030-1-L-48h-03A7_S26__bin.7,Eukaryota,Ascomycota,11241382,1559
MortensenS_xxxx__WK041-1-L-08h-03F5_S69__bin.4,Eukaryota,Ascomycota,10492836,1439
MortensenS_xxxx__WK060-2-G-48h-05H3_S118__bin.3,Eukaryota,Ascomycota,9984917,1401
DuR_2020__DRS139335__bin.17,Eukaryota,Ascomycota,11319193,1478
LeechJ_xxxx__AF39__bin.4,Eukaryota,Ascomycota,10779586,1482
MortensenS_xxxx__WK031-2-G-48h-04A7_S107__bin.4,Eukaryota,Ascomycota,10474708,1444
MortensenS_xxxx__WK031-2-L-08h-03B3_S31__bin.3,Eukaryota,Ascomycota,10677716,1456
SternesPR_2017__Y3D1_B_shotgun__bin.1,Eukaryota,Ascomycota,11117185,1547
LandisEA_2021__SRS5653152__bin.3,Eukaryota,Ascomycota,10418995,1266
MortensenS_xxxx__WK003-2-G-48h-01C6_S3__bin.1,Eukaryota,Ascomycota,11269521,1532
MortensenS_xxxx__WK030-2-G-48h-04A6_S106__bin.5,Eukaryota,Ascomycota,11315670,1556
MortensenS_xxxx__WK033-2-L-08h-03C2_S39__bin.4,Eukaryota,Ascomycota,9698624,1391
MortensenS_xxxx__WK062-2-G-48h-05H5_S120__bin.1,Eukaryota,Ascomycota,9296485,1458
MortensenS_xxxx__WK063-2-G-48h-05H6_S121__bin.2,Eukaryota,Ascomycota,10769251,1498
SternesPR_2017__Y1D1_A_shotgun__bin.2,Eukaryota,Ascomycota,11162988,1563
MortensenS_xxxx__WK067-2-G-48h-05I2_S126__bin.5,Eukaryota,Ascomycota,9482780,1354
DuR_2020__DRS139334__bin.3,Eukaryota,Ascomycota,10912046,1488
MortensenS_xxxx__WK015-2-L-08h-02C5_S83__bin.4,Eukaryota,Ascomycota,10158653,1433
MortensenS_xxxx__WK031-2-L-48h-03B4_S32__bin.8,Eukaryota,Ascomycota,9277108,1320
MortensenS_xxxx__WK047-2-G-48h-04C5_S123__bin.4,Eukaryota,Ascomycota,10753327,1516
MortensenS_xxxx__WK060-2-L-48h-04H7_S41__bin.5,Eukaryota,Ascomycota,9838342,1402
MortensenS_xxxx__WK066-2-L-48h-05B8_S69__bin.5,Eukaryota,Ascomycota,9922538,1271
SternesPR_2017__Y3D3_B_shotgun__bin.1,Eukaryota,Ascomycota,11064877,1540
DeRoosJ_2020__B3D__bin.2,Eukaryota,Ascomycota,10227970,1261
HeilCS_2018__Old_Warehouse_metagenome__bin.6,Eukaryota,Ascomycota,12016729,1553
MASTER_WP4_UNINA_1__GO003_71775__bin.8,Eukaryota,Ascomycota,11247413,1553
MortensenS_xxxx__WK024-2-L-08h-02G8_S122__bin.2,Eukaryota,Ascomycota,10139610,1444
MortensenS_xxxx__WK035-2-L-48h-03D2_S48__bin.2,Eukaryota,Ascomycota,10849353,1514
MortensenS_xxxx__WK038-2-G-48h-04B5_S114__bin.2,Eukaryota,Ascomycota,11260105,1550
MortensenS_xxxx__WK063-2-L-08h-04I9_S52__bin.3,Eukaryota,Ascomycota,10748273,1495
MortensenS_xxxx__WK001-1-L-08h-01F1_S25__bin.10,Eukaryota,Ascomycota,8594908,1223
MortensenS_xxxx__WK001T-1-L-48h-05F9_S106__bin.1,Eukaryota,Ascomycota,6495178,900
MortensenS_xxxx__WK001T-2-L-08h-05E7_S95__bin.3,Eukaryota,Ascomycota,11034975,1526
MortensenS_xxxx__WK016-2-G-48h-01E1_S16__bin.3,Eukaryota,Ascomycota,10096918,1443
MortensenS_xxxx__WK022-1-L-08h-02F7_S112__bin.6,Eukaryota,Ascomycota,9909499,1404
MortensenS_xxxx__WK032-2-L-08h-03B7_S35__bin.1,Eukaryota,Ascomycota,9208378,1327
MortensenS_xxxx__WK041-2-L-08h-03F7_S71__bin.3,Eukaryota,Ascomycota,9675510,1325
MortensenS_xxxx__WK048-2-L-08h-03I8_S99__bin.1,Eukaryota,Ascomycota,8466487,1205
MortensenS_xxxx__WK027-2-G-48h-04A3_S103__bin.3,Eukaryota,Ascomycota,10679263,1493
MortensenS_xxxx__WK030-2-L-48h-03A9_S28__bin.3,Eukaryota,Ascomycota,10245150,1444
MortensenS_xxxx__WK050-1-L-08h-04C7_S125__bin.9,Eukaryota,Ascomycota,9222809,1307
MortensenS_xxxx__WK059-2-L-08h-04H2_S36__bin.6,Eukaryota,Ascomycota,11128056,1499
MortensenS_xxxx__WK068-2-G-48h-05I3_S127__bin.1,Eukaryota,Ascomycota,11134829,1485
MortensenS_xxxx__WK069-2-L-48h-05D2_S81__bin.8,Eukaryota,Ascomycota,10813276,1506
MortensenS_xxxx__WK005-2-L-48h-01H2_S44__bin.6,Eukaryota,Ascomycota,6694399,1004
MortensenS_xxxx__WK045-2-L-48h-03H6_S88__bin.9,Eukaryota,Ascomycota,6828122,992
MortensenS_xxxx__WK058-1-L-08h-04G5_S30__bin.5,Eukaryota,Ascomycota,11175668,1558
SternesPR_2017__Y3D1_A_shotgun__bin.1,Eukaryota,Ascomycota,11229123,1557
LeechJ_xxxx__AF29__bin.7,Eukaryota,Ascomycota,7377135,842
MASTER_WP4_UNINA_1__GO004_71775__bin.7,Eukaryota,Ascomycota,11353672,1462
MortensenS_xxxx__WK001T-2-G-00h-05I6_S130__bin.4,Eukaryota,Ascomycota,10492770,1494
MortensenS_xxxx__WK027-1-L-08h-02I3_S13__bin.8,Eukaryota,Ascomycota,10780086,1495
MASTER_WP4_UNINA_1__GO202_71775__bin.2,Eukaryota,Ascomycota,11199142,1465
MortensenS_xxxx__WK015-1-L-08h-02C3_S81__bin.4,Eukaryota,Ascomycota,10970089,1518
MortensenS_xxxx__WK032-2-G-48h-04A8_S108__bin.2,Eukaryota,Ascomycota,10538661,1472
MortensenS_xxxx__WK038-1-L-48h-03E3_S58__bin.7,Eukaryota,Ascomycota,10771855,1509
MortensenS_xxxx__WK038-2-L-48h-03E5_S60__bin.7,Eukaryota,Ascomycota,10408711,1478
MortensenS_xxxx__WK059-1-L-08h-04G9_S34__bin.9,Eukaryota,Ascomycota,11365649,1527
SternesPR_2017__T2D1_B_shotgun__bin.9,Eukaryota,Ascomycota,11138085,1541
SternesPR_2017__Y2D3_A_shotgun__bin.2,Eukaryota,Ascomycota,11000101,1550
MASTER_WP4_UNINA_1__AS006_71775__bin.7,Eukaryota,Ascomycota,7257625,277
SternesPR_2017__T2D3_A_shotgun__bin.3,Eukaryota,Ascomycota,8472344,896
SternesPR_2017__T2D3_B_shotgun__bin.3,Eukaryota,Ascomycota,8511571,905
SternesPR_2017__Y2D1_A_shotgun__bin.3,Eukaryota,Ascomycota,8641290,927
SternesPR_2017__Y2D1_B_shotgun__bin.9,Eukaryota,Ascomycota,8643490,929
SternesPR_2017__T1D1_B_shotgun__bin.2,Eukaryota,Ascomycota,7431722,836
SternesPR_2017__T1D1_A_shotgun__bin.3,Eukaryota,Ascomycota,8371510,662
MortensenS_xxxx__WK011-1-L-08h-02A5_S65__bin.8,Eukaryota,Ascomycota,6578086,748
SternesPR_2017__Control1_C_shotgun__bin.4,Eukaryota,Ascomycota,8339196,914
SternesPR_2017__T1D1_B_shotgun__bin.1,Eukaryota,Ascomycota,7578471,552
SternesPR_2017__T2D1_A_shotgun__bin.4,Eukaryota,Ascomycota,7258578,801
SternesPR_2017__T2D1_B_shotgun__bin.8,Eukaryota,Ascomycota,7171711,793
SternesPR_2017__Control1_A_shotgun__bin.1,Eukaryota,Ascomycota,8294422,912
SternesPR_2017__T1D1_A_shotgun__bin.2,Eukaryota,Ascomycota,7821766,861
LeechJ_xxxx__AF26__bin.5,Eukaryota,Ascomycota,9113064,302
VerceM_2019__ERS1807706__bin.5,Eukaryota,Ascomycota,10885729,1324
LeechJ_2020__ERS3967714__bin.6,Eukaryota,Ascomycota,10989716,1102
MASTER_WP4_UNINA_1__GO011_71775__bin.8,Eukaryota,Ascomycota,10781653,1360
MortensenS_xxxx__WK069-1-L-08h-05C8_S78__bin.2,Eukaryota,Ascomycota,11191471,1542
MortensenS_xxxx__WK069-2-L-08h-05D1_S80__bin.3,Eukaryota,Ascomycota,11151935,1540
MortensenS_xxxx__WK069-1-L-48h-05C9_S79__bin.4,Eukaryota,Ascomycota,11020400,1514
SternesPR_2017__Y2D1_B_shotgun__bin.2,Eukaryota,Ascomycota,11044742,1542
MASTER_WP4_UNINA_1__GO102_71775__bin.29,Eukaryota,Ascomycota,7670223,806
LeechJ_xxxx__AF28__bin.1,Eukaryota,Ascomycota,10760707,1423
MortensenS_xxxx__WK060-1-L-08h-04H4_S38__bin.2,Eukaryota,Ascomycota,11111893,1530
MortensenS_xxxx__WK055-1-L-08h-04F2_S18__bin.2,Eukaryota,Ascomycota,7839473,1095
LeechJ_xxxx__AF77__bin.1,Eukaryota,Ascomycota,10786726,1381
MASTER_WP4_TEAGASC_1__TGS05-28_0__bin.16,Eukaryota,Ascomycota,10162044,1313
MASTER_WP4_UNINA_1__GO013_71775__bin.28,Eukaryota,Ascomycota,10803716,1410
XieM_2019__SAMC044639__bin.29,Eukaryota,Ascomycota,29984996,1617
DeFilippisF_xxxx__DF_26__bin.9,Eukaryota,Ascomycota,33108557,1970
MASTER_WP4_UNINA_2__O-29__bin.7,Eukaryota,Ascomycota,31916151,2134
MASTER_WP4_CSIC_2__P2588__bin.26,Eukaryota,Ascomycota,32837660,2203
MASTER_WP4_UNINA_2__O-30__bin.13,Eukaryota,Ascomycota,33121266,2246
WalshAM_2020__ERS3466788__bin.2,Eukaryota,Ascomycota,30608052,1901
AlvarezOrdonezA_xxxx__C08-18__bin.3,Eukaryota,Ascomycota,25690770,1359
MASTER_WP4_CSIC_1__P2217_73323__bin.8,Eukaryota,Ascomycota,31953210,2177
MASTER_WP4_TEAGASC_1__TGS15-28__bin.22,Eukaryota,Ascomycota,31597342,2156
MASTER_WP4_UNINA_2__O-25.1__bin.4,Eukaryota,Ascomycota,27746072,1690
AlvarezOrdonezA_xxxx__Q08-29__bin.9,Eukaryota,Ascomycota,29868950,1851
AlvarezOrdonezA_xxxx__C02-19__bin.6,Eukaryota,Ascomycota,15682687,839
MASTER_WP4_TEAGASC_1__TGS09-24__bin.3,Eukaryota,Ascomycota,32641981,2198
AlvarezOrdonezA_xxxx__Q06-30__bin.5,Eukaryota,Ascomycota,25807546,1334
AlvarezOrdonezA_xxxx__C04-18__bin.8,Eukaryota,Ascomycota,30370362,1860
MASTER_WP4_CSIC_2__P2620__bin.20,Eukaryota,Ascomycota,33438173,2224
MASTER_WP4_TEAGASC_1__TGS14-30__bin.13,Eukaryota,Ascomycota,32287891,2176
AlvarezOrdonezA_xxxx__Q04-29__bin.7,Eukaryota,Ascomycota,33330754,1962
AlvarezOrdonezA_xxxx__Q01-29__bin.15,Eukaryota,Ascomycota,25464836,1651
AlvarezOrdonezA_xxxx__Q08-30__bin.19,Eukaryota,Ascomycota,21524396,1224
WolfeBE_2014__623_Maggies_Round__bin.3,Eukaryota,Ascomycota,33442081,2203
AlvarezOrdonezA_xxxx__Q07-29__bin.23,Eukaryota,Ascomycota,28804198,1737
AlvarezOrdonezA_xxxx__Q03-30__bin.4,Eukaryota,Ascomycota,32006948,2169
KastmanEK_2016__CSB619__bin.7,Eukaryota,Ascomycota,32328409,2208
MASTER_WP4_TEAGASC_1__TGS09-26__bin.6,Eukaryota,Ascomycota,32843159,2204
WolfeBE_2014__581_Moses_Sleeper__bin.4,Eukaryota,Ascomycota,32893362,2207
AlvarezOrdonezA_xxxx__Q07-30__bin.17,Eukaryota,Ascomycota,29816331,1864
AlvarezOrdonezA_xxxx__Q02-27__bin.5,Eukaryota,Ascomycota,32081246,2166
MASTER_WP4_CSIC_1__P2219_73323__bin.9,Eukaryota,Ascomycota,31164672,2141
MASTER_WP4_CSIC_2__P2560__bin.1,Eukaryota,Ascomycota,32796981,1982
MASTER_WP4_CSIC_2__P2598__bin.10,Eukaryota,Ascomycota,32904700,2131
MASTER_WP4_FFoQSI_1__VB-09-M7__bin.74,Eukaryota,Ascomycota,30478809,1960
AlvarezOrdonezA_xxxx__F06-19__bin.9,Eukaryota,Ascomycota,31654128,2157
AlvarezOrdonezA_xxxx__Q03-29__bin.17,Eukaryota,Ascomycota,31533273,2154
AlvarezOrdonezA_xxxx__F05-18__bin.5,Eukaryota,Ascomycota,27569983,1446
AlvarezOrdonezA_xxxx__Q01-30__bin.5,Eukaryota,Ascomycota,25510268,1679
AlvarezOrdonezA_xxxx__Q04-30__bin.20,Eukaryota,Ascomycota,32482761,1920
AlvarezOrdonezA_xxxx__F05-19__bin.4,Bacteria,Firmicutes,2364382,652
DeFilippisF_xxxx__DS_10__bin.6,Bacteria,Firmicutes,2315686,643
DeFilippisF_xxxx__DS_98__bin.5,Bacteria,Firmicutes,2255579,645
DeFilippisF_xxxx__DF_95__bin.6,Bacteria,Firmicutes,2212974,626
DeFilippisF_xxxx__DS_91__bin.15,Bacteria,Firmicutes,2369880,662
DeFilippisF_xxxx__DF_5__bin.9,Bacteria,Firmicutes,2314683,625
DeFilippisF_xxxx__DS_69__bin.7,Bacteria,Firmicutes,2529231,386
AlvarezOrdonezA_xxxx__F05-18__bin.6,Bacteria,Firmicutes,2130838,622
DeFilippisF_xxxx__DS_65__bin.5,Bacteria,Firmicutes,2218828,625
DeFilippisF_xxxx__DS_84__bin.1,Bacteria,Firmicutes,2275653,632
MASTER_WP4_UNINA_1__SA009_71775__bin.9,Bacteria,Firmicutes,1747142,416
DeFilippisF_xxxx__DS_110__bin.12,Bacteria,Firmicutes,2299937,643
DeFilippisF_xxxx__DS_1__bin.5,Bacteria,Firmicutes,2313676,639
DeFilippisF_xxxx__DS_19__bin.3,Bacteria,Firmicutes,2286359,646
DeFilippisF_xxxx__DS_82__bin.9,Bacteria,Firmicutes,2140445,608
